TraderCopilot - Verified Performance Ledger
===========================================
Strategy: MeanReversion
Asset: ETH
Timeframe: 4h
Period: 5Y
Generated: 2026-01-27T17:36:50.954495Z

SUMMARY STATISTICS (Real Backtest Data - 5Y)
---------------------------------------
Total Trades: 515
Win Rate: 40.6%
Total Net Profit: +153.8 R
Wins: 209 | Losses: 306

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-26  | LONG  | $2850.68   | +2.2R      | 2026-01-26 
TR-10001 | 2026-01-21  | LONG  | $2981.76   | -1.0R      | 2026-01-21 
TR-10002 | 2026-01-19  | LONG  | $3189.55   | -1.0R      | 2026-01-20 
TR-10003 | 2026-01-14  | SHORT | $3367.42   | +2.2R      | 2026-01-19 
TR-10004 | 2026-01-12  | SHORT | $3135.34   | +2.2R      | 2026-01-12 
TR-10005 | 2026-01-06  | SHORT | $3225.10   | -1.0R      | 2026-01-06 
TR-10006 | 2026-01-06  | SHORT | $3219.24   | -1.0R      | 2026-01-06 
TR-10007 | 2026-01-05  | SHORT | $3195.57   | -1.0R      | 2026-01-05 
TR-10008 | 2026-01-03  | SHORT | $3125.56   | -1.0R      | 2026-01-05 
TR-10009 | 2025-12-17  | LONG  | $2820.28   | +2.2R      | 2025-12-18 
TR-10010 | 2025-12-10  | SHORT | $3390.71   | +2.2R      | 2025-12-11 
TR-10011 | 2025-12-10  | SHORT | $3324.14   | +2.2R      | 2025-12-11 
TR-10012 | 2025-12-07  | LONG  | $3027.01   | +2.2R      | 2025-12-07 
TR-10013 | 2025-11-28  | SHORT | $3073.77   | +2.2R      | 2025-11-29 
TR-10014 | 2025-11-21  | LONG  | $2705.32   | +2.2R      | 2025-11-24 
TR-10015 | 2025-11-05  | LONG  | $3334.83   | +2.2R      | 2025-11-09 
TR-10016 | 2025-11-04  | LONG  | $3642.29   | -1.0R      | 2025-11-04 
TR-10017 | 2025-11-04  | LONG  | $3529.52   | -1.0R      | 2025-11-04 
TR-10018 | 2025-11-04  | LONG  | $3287.05   | +2.2R      | 2025-11-09 
TR-10019 | 2025-11-03  | LONG  | $3603.83   | -1.0R      | 2025-11-04 
TR-10020 | 2025-10-30  | LONG  | $3940.42   | -1.0R      | 2025-10-30 
TR-10021 | 2025-10-30  | LONG  | $3805.09   | -1.0R      | 2025-11-03 
TR-10022 | 2025-10-29  | LONG  | $3902.99   | -1.0R      | 2025-10-30 
TR-10023 | 2025-10-20  | SHORT | $4026.90   | +2.2R      | 2025-10-21 
TR-10024 | 2025-10-20  | SHORT | $4055.03   | +2.2R      | 2025-10-21 
TR-10025 | 2025-10-19  | SHORT | $3985.75   | +2.2R      | 2025-10-21 
TR-10026 | 2025-10-19  | SHORT | $3982.58   | -1.0R      | 2025-10-20 
