TraderCopilot - Verified Performance Ledger
===========================================
Strategy: MeanReversion
Asset: SOL
Timeframe: 1h
Period: 6M
Generated: 2026-01-27T17:34:13.878224Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 140
Win Rate: 40.7%
Total Net Profit: +43.4 R
Wins: 57 | Losses: 83

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-26  | SHORT | $124.90    | +0.0R      | 2026-01-27 
TR-10001 | 2026-01-25  | LONG  | $118.83    | +2.2R      | 2026-01-26 
TR-10002 | 2026-01-18  | LONG  | $142.11    | -1.0R      | 2026-01-18 
TR-10003 | 2026-01-18  | LONG  | $142.43    | -1.0R      | 2026-01-18 
TR-10004 | 2026-01-15  | LONG  | $141.45    | +2.2R      | 2026-01-16 
TR-10005 | 2026-01-13  | SHORT | $142.46    | -1.0R      | 2026-01-13 
TR-10006 | 2026-01-13  | SHORT | $143.17    | -1.0R      | 2026-01-13 
TR-10007 | 2026-01-12  | SHORT | $142.54    | +2.2R      | 2026-01-12 
TR-10008 | 2026-01-11  | SHORT | $140.03    | +2.2R      | 2026-01-11 
TR-10009 | 2026-01-07  | LONG  | $135.26    | +2.2R      | 2026-01-08 
TR-10010 | 2026-01-04  | SHORT | $133.96    | -1.0R      | 2026-01-04 
TR-10011 | 2026-01-03  | SHORT | $133.37    | -1.0R      | 2026-01-04 
TR-10012 | 2026-01-02  | SHORT | $128.94    | +2.2R      | 2026-01-02 
TR-10013 | 2026-01-02  | SHORT | $130.80    | -1.0R      | 2026-01-02 
TR-10014 | 2026-01-02  | SHORT | $131.63    | -1.0R      | 2026-01-03 
TR-10015 | 2026-01-02  | SHORT | $131.14    | -1.0R      | 2026-01-03 
TR-10016 | 2026-01-02  | SHORT | $132.64    | -1.0R      | 2026-01-04 
TR-10017 | 2025-12-30  | SHORT | $125.03    | -1.0R      | 2025-12-30 
TR-10018 | 2025-12-29  | SHORT | $128.57    | +2.2R      | 2025-12-29 
TR-10019 | 2025-12-23  | LONG  | $123.34    | +2.2R      | 2025-12-23 
TR-10020 | 2025-12-23  | LONG  | $123.37    | +2.2R      | 2025-12-23 
TR-10021 | 2025-12-15  | SHORT | $132.74    | -1.0R      | 2025-12-15 
TR-10022 | 2025-12-14  | LONG  | $131.02    | -1.0R      | 2025-12-14 
TR-10023 | 2025-12-14  | LONG  | $129.40    | +2.2R      | 2025-12-15 
TR-10024 | 2025-12-13  | SHORT | $133.96    | +2.2R      | 2025-12-13 
TR-10025 | 2025-12-12  | SHORT | $135.50    | -1.0R      | 2025-12-12 
TR-10026 | 2025-12-12  | LONG  | $131.27    | -1.0R      | 2025-12-14 
TR-10027 | 2025-12-11  | SHORT | $134.46    | -1.0R      | 2025-12-11 
TR-10028 | 2025-12-11  | SHORT | $133.91    | -1.0R      | 2025-12-11 
TR-10029 | 2025-12-11  | SHORT | $136.17    | -1.0R      | 2025-12-12 
TR-10030 | 2025-12-05  | LONG  | $135.05    | -1.0R      | 2025-12-05 
TR-10031 | 2025-12-02  | SHORT | $139.84    | -1.0R      | 2025-12-03 
TR-10032 | 2025-12-01  | LONG  | $126.97    | -1.0R      | 2025-12-01 
TR-10033 | 2025-11-23  | SHORT | $129.96    | -1.0R      | 2025-11-23 
TR-10034 | 2025-11-23  | SHORT | $133.14    | +2.2R      | 2025-11-24 
TR-10035 | 2025-11-21  | LONG  | $126.25    | +2.2R      | 2025-11-23 
TR-10036 | 2025-11-20  | LONG  | $132.57    | -1.0R      | 2025-11-21 
TR-10037 | 2025-11-20  | LONG  | $133.92    | -1.0R      | 2025-11-21 
TR-10038 | 2025-11-19  | LONG  | $131.74    | +2.2R      | 2025-11-19 
TR-10039 | 2025-11-18  | SHORT | $139.70    | +2.2R      | 2025-11-19 
TR-10040 | 2025-11-17  | LONG  | $130.31    | +2.2R      | 2025-11-18 
TR-10041 | 2025-11-16  | LONG  | $135.84    | +2.2R      | 2025-11-17 
TR-10042 | 2025-11-13  | LONG  | $142.10    | -1.0R      | 2025-11-14 
TR-10043 | 2025-11-11  | LONG  | $163.00    | -1.0R      | 2025-11-11 
TR-10044 | 2025-11-11  | LONG  | $160.89    | -1.0R      | 2025-11-11 
TR-10045 | 2025-11-11  | LONG  | $160.64    | -1.0R      | 2025-11-11 
TR-10046 | 2025-11-11  | LONG  | $159.51    | -1.0R      | 2025-11-11 
TR-10047 | 2025-11-11  | LONG  | $154.63    | +2.2R      | 2025-11-12 
TR-10048 | 2025-11-10  | SHORT | $167.50    | -1.0R      | 2025-11-11 
TR-10049 | 2025-11-10  | SHORT | $169.72    | +2.2R      | 2025-11-10 
TR-10050 | 2025-11-09  | SHORT | $161.80    | -1.0R      | 2025-11-09 
TR-10051 | 2025-11-09  | SHORT | $165.33    | -1.0R      | 2025-11-10 
TR-10052 | 2025-11-08  | LONG  | $156.76    | +2.2R      | 2025-11-09 
TR-10053 | 2025-11-08  | LONG  | $157.60    | -1.0R      | 2025-11-09 
TR-10054 | 2025-11-06  | LONG  | $157.49    | +2.2R      | 2025-11-06 
TR-10055 | 2025-11-04  | LONG  | $158.58    | +2.2R      | 2025-11-04 
TR-10056 | 2025-11-04  | LONG  | $157.07    | +2.2R      | 2025-11-04 
TR-10057 | 2025-11-03  | LONG  | $176.50    | -1.0R      | 2025-11-03 
TR-10058 | 2025-11-03  | LONG  | $175.67    | -1.0R      | 2025-11-03 
TR-10059 | 2025-11-03  | LONG  | $168.37    | -1.0R      | 2025-11-03 
TR-10060 | 2025-11-03  | LONG  | $164.40    | -1.0R      | 2025-11-04 
TR-10061 | 2025-10-31  | SHORT | $188.89    | +2.2R      | 2025-10-31 
TR-10062 | 2025-10-30  | LONG  | $185.31    | -1.0R      | 2025-10-30 
TR-10063 | 2025-10-30  | LONG  | $183.80    | -1.0R      | 2025-10-30 
TR-10064 | 2025-10-30  | LONG  | $181.31    | +2.2R      | 2025-10-31 
TR-10065 | 2025-10-29  | SHORT | $200.03    | +2.2R      | 2025-10-29 
TR-10066 | 2025-10-27  | SHORT | $203.97    | +2.2R      | 2025-10-27 
TR-10067 | 2025-10-26  | SHORT | $198.86    | -1.0R      | 2025-10-26 
TR-10068 | 2025-10-26  | SHORT | $199.53    | -1.0R      | 2025-10-26 
TR-10069 | 2025-10-26  | SHORT | $200.20    | -1.0R      | 2025-10-27 
TR-10070 | 2025-10-23  | SHORT | $190.37    | -1.0R      | 2025-10-23 
TR-10071 | 2025-10-22  | LONG  | $178.88    | +2.2R      | 2025-10-23 
TR-10072 | 2025-10-21  | LONG  | $186.03    | -1.0R      | 2025-10-21 
TR-10073 | 2025-10-21  | LONG  | $183.85    | +2.2R      | 2025-10-21 
TR-10074 | 2025-10-17  | LONG  | $177.75    | +2.2R      | 2025-10-17 
TR-10075 | 2025-10-15  | LONG  | $194.20    | -1.0R      | 2025-10-16 
TR-10076 | 2025-10-15  | LONG  | $192.88    | -1.0R      | 2025-10-16 
TR-10077 | 2025-10-14  | LONG  | $194.24    | +2.2R      | 2025-10-14 
TR-10078 | 2025-10-12  | SHORT | $193.84    | -1.0R      | 2025-10-12 
TR-10079 | 2025-10-12  | SHORT | $196.80    | -1.0R      | 2025-10-13 
TR-10080 | 2025-10-11  | LONG  | $188.05    | -1.0R      | 2025-10-11 
TR-10081 | 2025-10-11  | LONG  | $177.39    | +2.2R      | 2025-10-12 
TR-10082 | 2025-10-09  | LONG  | $220.00    | +2.2R      | 2025-10-09 
TR-10083 | 2025-10-08  | SHORT | $227.70    | +2.2R      | 2025-10-09 
TR-10084 | 2025-10-07  | LONG  | $224.40    | -1.0R      | 2025-10-07 
TR-10085 | 2025-10-05  | SHORT | $235.18    | +2.2R      | 2025-10-05 
TR-10086 | 2025-10-04  | LONG  | $225.65    | +2.2R      | 2025-10-05 
TR-10087 | 2025-10-02  | SHORT | $232.57    | +2.2R      | 2025-10-03 
TR-10088 | 2025-10-01  | SHORT | $218.50    | -1.0R      | 2025-10-01 
TR-10089 | 2025-09-30  | LONG  | $206.58    | +2.2R      | 2025-09-30 
TR-10090 | 2025-09-27  | SHORT | $203.89    | +2.2R      | 2025-09-28 
TR-10091 | 2025-09-26  | SHORT | $205.17    | +2.2R      | 2025-09-28 
TR-10092 | 2025-09-25  | LONG  | $205.45    | -1.0R      | 2025-09-25 
TR-10093 | 2025-09-25  | LONG  | $198.59    | -1.0R      | 2025-09-25 
TR-10094 | 2025-09-24  | LONG  | $209.74    | -1.0R      | 2025-09-25 
TR-10095 | 2025-09-22  | LONG  | $232.81    | -1.0R      | 2025-09-22 
TR-10096 | 2025-09-22  | LONG  | $220.48    | -1.0R      | 2025-09-23 
TR-10097 | 2025-09-21  | LONG  | $237.82    | -1.0R      | 2025-09-21 
TR-10098 | 2025-09-19  | LONG  | $243.63    | -1.0R      | 2025-09-19 
TR-10099 | 2025-09-19  | LONG  | $242.87    | -1.0R      | 2025-09-19 
TR-10100 | 2025-09-19  | LONG  | $240.91    | -1.0R      | 2025-09-19 
TR-10101 | 2025-09-19  | LONG  | $238.62    | -1.0R      | 2025-09-19 
TR-10102 | 2025-09-19  | LONG  | $236.98    | +2.2R      | 2025-09-20 
TR-10103 | 2025-09-14  | SHORT | $246.89    | +2.2R      | 2025-09-14 
TR-10104 | 2025-09-10  | SHORT | $222.71    | -1.0R      | 2025-09-11 
TR-10105 | 2025-09-08  | SHORT | $213.28    | -1.0R      | 2025-09-08 
TR-10106 | 2025-09-07  | SHORT | $205.20    | +2.2R      | 2025-09-07 
TR-10107 | 2025-09-06  | LONG  | $201.26    | -1.0R      | 2025-09-06 
TR-10108 | 2025-09-06  | LONG  | $201.62    | -1.0R      | 2025-09-06 
TR-10109 | 2025-09-06  | LONG  | $199.71    | +2.2R      | 2025-09-07 
TR-10110 | 2025-09-04  | LONG  | $205.39    | -1.0R      | 2025-09-04 
TR-10111 | 2025-09-01  | LONG  | $197.54    | +2.2R      | 2025-09-01 
TR-10112 | 2025-09-01  | LONG  | $198.40    | +2.2R      | 2025-09-01 
TR-10113 | 2025-09-01  | LONG  | $195.76    | +2.2R      | 2025-09-02 
TR-10114 | 2025-08-29  | LONG  | $204.84    | -1.0R      | 2025-08-30 
TR-10115 | 2025-08-28  | SHORT | $212.74    | -1.0R      | 2025-08-29 
TR-10116 | 2025-08-27  | SHORT | $202.87    | -1.0R      | 2025-08-27 
TR-10117 | 2025-08-26  | SHORT | $196.35    | -1.0R      | 2025-08-27 
TR-10118 | 2025-08-24  | SHORT | $208.57    | +2.2R      | 2025-08-24 
TR-10119 | 2025-08-22  | SHORT | $196.82    | -1.0R      | 2025-08-22 
TR-10120 | 2025-08-22  | SHORT | $198.97    | -1.0R      | 2025-08-23 
TR-10121 | 2025-08-21  | LONG  | $181.17    | +2.2R      | 2025-08-22 
TR-10122 | 2025-08-18  | LONG  | $182.92    | -1.0R      | 2025-08-19 
TR-10123 | 2025-08-18  | LONG  | $181.38    | -1.0R      | 2025-08-19 
TR-10124 | 2025-08-17  | SHORT | $193.41    | -1.0R      | 2025-08-17 
TR-10125 | 2025-08-15  | LONG  | $185.85    | +2.2R      | 2025-08-17 
TR-10126 | 2025-08-15  | LONG  | $184.17    | +2.2R      | 2025-08-16 
TR-10127 | 2025-08-14  | SHORT | $206.57    | +2.2R      | 2025-08-14 
TR-10128 | 2025-08-14  | LONG  | $193.33    | -1.0R      | 2025-08-15 
